track,date
royal-randwick,20220217
royal-randwick,20220226
royal-randwick,20220303
royal-randwick,20220305
royal-randwick,20220318
royal-randwick,20220402
royal-randwick,20220404
royal-randwick,20220409
royal-randwick,20220416
royal-randwick,20220419
royal-randwick,20220423
royal-randwick,20220502
royal-randwick,20220516
royal-randwick,20220528
royal-randwick,20220603
royal-randwick,20220611
royal-randwick,20220614
royal-randwick,20220625
royal-randwick,20220628
royal-randwick,20220708
royal-randwick,20220709
royal-randwick,20220723
royal-randwick,20220726
royal-randwick,20220802
royal-randwick,20220806
royal-randwick,20220819
royal-randwick,20220820
royal-randwick,20220903
royal-randwick,20220913
royal-randwick,20220917
royal-randwick,20220919
royal-randwick,20220926
royal-randwick,20221001
royal-randwick,20221008
royal-randwick,20221010
royal-randwick,20221015
royal-randwick,20221022
royal-randwick,20221028
royal-randwick,20221101
royal-randwick,20221114
royal-randwick,20221210
royal-randwick,20221213
royal-randwick,20221217
royal-randwick,20221224
royal-randwick,20221226
royal-randwick,20221231
royal-randwick,20230109
royal-randwick,20230121
royal-randwick,20230123
royal-randwick,20230204
royal-randwick,20230206
royal-randwick,20230211
royal-randwick,20230220
royal-randwick,20230225
royal-randwick,20230304
royal-randwick,20230307
royal-randwick,20230321
royal-randwick,20230401
royal-randwick,20230403
royal-randwick,20230408
royal-randwick,20230415
royal-randwick,20230418
royal-randwick,20230501
royal-randwick,20230515
royal-randwick,20230527
royal-randwick,20230602
royal-randwick,20230610
royal-randwick,20230613
